"customer_id","customer_name","total_sales"
"SM-20320","Sean Miller","25043.05"
"TC-20980","Tamara Chand","19052.22"
"RB-19360","Raymond Buch","15117.34"
"TA-21385","Tom Ashbrook","14595.62"
"AB-10105","Adrian Barton","14473.57"
"KL-16645","Ken Lonsdale","14175.23"
"SC-20095","Sanjit Chand","14142.33"
"HL-15040","Hunter Lopez","12873.30"
"SE-20110","Sanjit Engle","12209.44"
"CC-12370","Christopher Conant","12129.07"
"TS-21370","Todd Sumrall","11891.75"
"GT-14710","Greg Tran","11820.12"
"BM-11140","Becky Martin","11789.63"
"SV-20365","Seth Vernon","11470.95"
"CJ-12010","Caroline Jumper","11164.97"
